DUMMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.699047619,0,2.796190476,0,4.893333333,0,6.99047619,0,0.34952381,1.398095238,2.446666667,3.495238095,10.48571429,5.242857143,13.98095238,6.99047619
2,0.772183467,0,3.088733867,0,5.405284267,0,7.721834667,0,0.469730773,1.87892309,3.288115408,4.697307726,11.582752,7.045961589,15.44366933,9.394615452
3,0.852970942,0,3.411883769,0,5.970796595,0,8.529709422,0,0.631278879,2.525115517,4.418952154,6.312788792,12.79456413,9.469183187,17.05941884,12.62557758
4,0.942210575,0,3.7688423,0,6.595474026,0,9.422105751,0,0.848386026,3.393544103,5.93870218,8.483860256,14.13315863,12.72579038,18.8442115,16.96772051
5,1.040786648,0,4.163146592,0,7.285506536,0,10.40786648,0,1.140159876,4.560639503,7.981119131,11.40159876,15.61179972,17.10239814,20.81573296,22.80319752
6,1.149675959,0,4.598703837,0,8.047731715,0,11.49675959,0,1.532279532,6.129118129,10.72595673,15.32279532,17.24513939,22.98419298,22.99351919,30.64559065
7,1.269957502,0,5.079830007,0,8.889702512,0,12.69957502,0,2.059255561,8.237022245,14.41478893,20.59255561,19.04936252,30.88883342,25.39915003,41.18511122
8,1.402823155,0,5.611292619,0,9.819762083,0,14.02823155,0,2.767467278,11.06986911,19.37227094,27.67467278,21.04234732,41.51200917,28.05646309,55.34934556
9,1.549589495,0,6.198357979,0,10.84712646,0,15.49589495,0,3.719244604,14.87697842,26.03471223,37.19244604,23.24384242,55.78866906,30.99178989,74.38489208
10,1.711710841,0,6.846843365,0,11.98197589,0,17.11710841,0,4.998353742,19.99341497,34.98847619,49.98353742,25.67566262,74.97530613,34.23421682,99.96707484
11,1.890793667,0,7.56317467,0,13.23555567,0,18.90793667,0,6.717369464,26.86947786,47.02158625,67.17369464,28.36190501,100.760542,37.81587335,134.3473893
12,2.08861252,0,8.354450078,0,14.62028764,0,20.8861252,0,9.027582848,36.11033139,63.19307994,90.27582848,31.32918779,135.4137427,41.77225039,180.551657
13,2.307127601,238.8835074,9.228510402,955.5340295,16.1498932,1672.184552,23.07127601,2388.835074,30.33079114,121.3231646,212.315538,303.3079114,43.25864251,454.9618671,57.67819001,606.6158228
14,2.548504194,238.8835074,10.19401678,955.5340295,17.83952936,1672.184552,25.48504194,2388.835074,40.76204701,163.048188,285.3343291,407.6204701,47.78445363,611.4307052,63.71260484,815.2409402
15,2.815134119,238.8835074,11.26053648,955.5340295,19.70593883,1672.184552,28.15134119,2388.835074,54.78078263,219.1231305,383.4654784,407.6204701,52.78376473,611.4307052,70.37835298,815.2409402
16,3.109659434,238.8835074,12.43863774,955.5340295,21.76761604,1672.184552,31.09659434,2388.835074,73.62079106,294.4831642,515.3455374,407.6204701,58.30611439,611.4307052,77.74148585,815.2409402
17,3.434998613,238.8835074,13.73999445,955.5340295,24.04499029,1672.184552,34.34998613,2388.835074,98.94018696,395.7607478,692.5813087,407.6204701,64.406224,611.4307052,85.87496533,815.2409402
18,3.794375469,238.8835074,15.17750188,955.5340295,26.56062828,1672.184552,37.94375469,2388.835074,132.9673378,531.8693513,930.7713648,407.6204701,71.14454004,611.4307052,94.85938672,815.2409402
19,4.191351095,238.8835074,16.76540438,955.5340295,29.33945767,1672.184552,41.91351095,2388.835074,178.6969832,714.7879329,1250.878883,407.6204701,78.58783303,611.4307052,104.7837774,815.2409402
20,4.629859155,238.8835074,18.51943662,955.5340295,32.40901409,1672.184552,46.29859155,2388.835074,240.1538027,960.6152108,1681.076619,407.6204701,86.80985916,611.4307052,115.7464789,815.2409402
