DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,5.374081291,15.03300855,0,1,0.035,0,0.7,0.7,0.14,40,3,0,0.25,0,0.25,0.039569979,0.3,,8.01,0
1,2,5.52621292,36.590108,0,1,0.01,0,0.7,0.7,0.08,40,6,0,0.25,0,0.25,158.0351977,0.3,,0.46,0
1,3,5.490061536,25.01282407,0,1,0.01,0,0.7,0.7,0.08,40,6,0,0.25,0,0.25,0.192714414,0.3,,4.66,0
1,4,5.389025549,14.30824614,0,1,0.01,0,0.7,0.7,0.14,40,3,0,0.25,0,0.25,0.029949363,0.3,,9.07,0
1,5,5.195018858,30.75699619,0,1,0.01,0,0.7,0.7,0.08,40,6,0,0.25,0,0.25,27.34698973,0.3,,1.00,0
1,6,5.364088875,25.57257288,0,1,0.01,0,0.7,0.7,0.08,40,6,0,0.25,0,0.25,0.051117081,0.3,,6.20,0
1,7,5.350403898,32.79095684,0,1,0.01,0,0.7,0.9,0.1,40,7,0,0.25,0,0.25,174.451844,0.3,,0.64,0
1,8,5.895603022,29.41496266,0,1,0.01,0,0.7,0.9,0.09,40,7,0,0.25,0,0.25,1365.799145,0.3,,0.39,0
1,9,5.375386982,26.30660913,0,1,0.01,0,0.7,0.9,0.07,40,7,0,0.25,0,0.25,3.375239634,0.3,,1.88,0
1,10,5.435860859,25.47888915,0,1,0.01,0,0.7,0.9,0.07,40,8,0,0.25,0,0.25,3.796547284,0.3,,1.89,0
1,11,5.255451865,27.62666262,0,1,0.01,0,0.7,0.9,0.1,40,7,0,0.25,0,0.25,1640.610659,0.3,,0.33,0
1,12,5.721938869,24.70406157,0,1,0.01,0,0.7,0.9,0.09,40,7,0,0.25,0,0.25,131.8179879,0.3,,0.79,0
1,13,5.249417843,28.94796509,0,1,0.02,0,0.7,0.9,0.07,40,7,0,0.25,0,0.25,0.308774489,0.3,,3.02,0
1,14,5.157030626,26.73738071,0,1,0.02,0,0.7,0.9,0.07,40,8,0,0.25,0,0.25,0.19218765,0.3,,3.92,0
1,15,6.524410629,29.62181433,0,1,0.02,0,0.7,0.6,0.14,40,5,0,0.25,0,0.25,3.389607111,0.3,,2.69,0
1,16,5.436062228,26.72102677,0,1,0.02,0,0.7,0.6,0.1,40,8,0,0.25,0,0.25,20.82532218,0.3,,0.82,0
1,17,5.887819247,25.12638126,0,1,0.02,0,0.7,0.6,0.05,40,8,0,0.25,0,0.25,141.8849825,0.3,,0.52,0
1,18,5.693625065,25.49339274,0,1,0.02,0,0.7,1,0.08,45,8,0,0.25,0,0.25,23.75272912,0.3,,0.97,0
1,19,5.556935697,32.85264818,0,1,0.02,0,0.7,1,0.08,45,8,0,0.25,0,0.25,159962.5532,0.3,,0.06,0
1,20,6.281372615,17.36480777,0,1,0.02,0,0.7,0.6,0.1,45,7,0,0.25,0,0.25,662.6316095,0.3,,0.40,0
1,21,6.057650368,30.89520335,0,1,0.01,0,0.7,0.6,0.08,45,7,0,0.25,0,0.25,291.7277221,0.3,,0.48,0
1,22,5.741724718,18.67893884,0,1,0.01,0,0.7,0.6,0.08,45,7,0,0.25,0,0.25,19564.2468,0.3,,0.13,0
1,23,6.450507733,42.56150971,0,1,0.01,0,0.7,1,0.12,45,5,0,0.25,0,0.25,81144.1164,0.3,,0.15,0
1,24,5.837524391,36.51162985,0,1,0.01,0,0.7,1,0.05,45,9,0,0.25,0,0.25,0,0.3,,0.00,0
1,25,6.452710334,56.36532841,0,1,0.01,0,0.7,1,0.05,45,9,0,0.25,0,0.25,70396713,0.3,,0.01,0
1,26,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,8466,0.3,82.00,0.00,0
1,27,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,16307,0.3,77.00,0.00,0
1,28,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,207930,0.3,65.00,0.00,0
1,29,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,129921,0.3,68.00,0.00,0
1,30,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,114278,0.3,101.00,0.00,0
1,31,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,3679,0.3,105.00,0.00,0
1,32,6.2,20,0,1,1,0,0.7,1,0.13,35,1,0,0.25,0,0.25,14741,0.3,,0.00,0
1,33,5.328390999,15.31712214,0,1,0,0,0.7,1,0.07,45,3,242146.5849,0.25,0,0.25,0.073668857,0.3,,4.97,0
1,34,5.489324825,38.49600072,0,1,0,0,0.7,1,0.04,45,6,114481512.9,0.25,0,0.25,0,0.3,,1.06,0
1,35,5.468570771,25.33842056,0,1,0,0,0.7,1,0.04,45,6,7661.013312,0.25,0,0.25,0,0.3,,12.62,0
1,36,5.382149685,14.34544085,0,1,0,0,0.7,1,0.07,45,3,204826.3116,0.25,0,0.25,0,0.3,,5.30,0
1,37,5.190380207,30.83569568,0,1,0,0,0.7,1,0.04,45,6,9698399.229,0.25,0,0.25,0,0.3,,1.88,0
1,38,5.357717653,25.56332014,0,1,0,0,0.7,1,0.04,45,6,4043.036018,0.25,0,0.25,0,0.3,,14.39,0
1,39,5.297422213,32.58755603,0,1,0,0,0.7,1,0.05,45,7,4609826.616,0.25,0,0.25,0,0.3,,1.62,0
1,40,5.857741133,29.28682322,0,1,0,0,0.7,1,0.045,45,7,30674075.39,0.25,0,0.25,0,0.3,,1.15,0
1,41,5.36198498,26.95152304,0,1,0,0,0.7,1,0.035,45,7,59513.39521,0.25,0,0.25,0,0.3,,7.31,0
1,42,5.424590484,25.58243585,0,1,0,0,0.7,1,0.035,45,8,372972.8273,0.25,0,0.25,0,0.3,,4.91,0
1,43,4.963173442,31.70127304,0,1,0,0,0.7,1,0.05,45,7,28523339.51,0.25,0,0.25,0,0.3,,0.95,0
1,44,5.621527085,25.34900593,0,1,0,0,0.7,1,0.045,45,7,12913755.76,0.25,0,0.25,0,0.3,,1.36,0
1,45,5.20699578,29.18683548,0,1,0,0,0.7,1,0.035,45,7,33361.48866,0.25,0,0.25,0,0.3,,8.26,0
1,46,5.096571224,27.53521064,0,1,0,0,0.7,1,0.035,45,8,13696.97434,0.25,0,0.25,0,0.3,,10.27,0
1,47,6.271965311,28.26313779,0,1,0,0,0.7,1,0.07,45,5,913142.8166,0.25,0,0.25,0,0.3,,8.89,0
1,48,5.199810528,24.67498686,0,1,0,0,0.7,1,0.05,45,8,33071157.35,0.25,0,0.25,0,0.3,,2.96,0
1,49,5.68572287,26.33058246,0,1,0,0,0.7,1,0.025,45,8,265362305.1,0.25,0,0.25,0,0.3,,1.98,0
1,50,5.206555652,24.85874339,0,1,0,0,0.7,1,0.04,45,8,1071.550087,0.25,0,0.25,0,0.3,,24.56,0
1,51,5.380471703,36.03490906,0,1,0,0,0.7,1,0.04,45,8,27823235.24,0.25,0,0.25,0,0.3,,5.20,0
1,52,5.981485839,16.12176873,0,1,0,0,0.7,1,0.05,45,7,415250299.9,0.25,0,0.25,0,0.3,,1.99,0
1,53,5.391332494,29.12054798,0,1,0,0,0.7,1,0.04,45,7,290723.9449,0.25,0,0.25,0,0.3,,9.83,0
1,54,5.150848522,24.94121781,0,1,0,0,0.7,1,0.04,45,7,68257063.34,0.25,0,0.25,0,0.3,,6.00,0
1,55,5.614838521,31.78034831,0,1,0,0,0.7,1,0.06,45,5,318146156.4,0.25,0,0.25,0,0.3,,4.19,0
1,56,3.07564738,65.10060075,0,1,0,0,0.7,1,0.025,45,9,1.85261E+13,0.25,0,0.25,0,0.3,,0.14,0
1,57,4.980121207,38.42747545,0,1,0,0,0.7,1,0.025,45,9,314088063.6,0.25,0,0.25,0,0.3,,0.39,0
1,58,4.747218305,18.93099837,0,1,0,0,0.7,1,0.01,45,3,898624358.9,0.25,0,0.25,0,0.3,,1.07,0
1,59,5.328243557,46.81856699,0,1,0,0,0.7,1,0.01,45,6,1.82533E+11,0.25,0,0.25,0,0.3,,0.31,0
1,60,5.180257656,29.70651715,0,1,0,0,0.7,1,0.01,45,6,21519027.23,0.25,0,0.25,0,0.3,,3.17,0
1,61,4.800781032,17.49033151,0,1,0,0,0.7,1,0.01,45,3,46962502606,0.25,0,0.25,0,0.3,,0.41,0
1,62,5.004247427,33.99362979,0,1,0,0,0.7,1,0.01,45,6,8.86761E+11,0.25,0,0.25,0,0.3,,0.20,0
1,63,5.037067651,25.09764941,0,1,0,0,0.7,1,0.01,45,6,27583719.4,0.25,0,0.25,0,0.3,,2.93,0
1,64,5.0458974,31.62193272,0,1,0,0,0.7,1,0.01,45,7,3842730726,0.25,0,0.25,0,0.3,,0.85,0
1,65,5.47651423,27.99660234,0,1,0,0,0.7,1,0.01,45,7,16288835200,0.25,0,0.25,0,0.3,,0.66,0
1,66,5.299185373,29.97348489,0,1,0,0,0.7,1,0.01,45,7,475196611.7,0.25,0,0.25,0,0.3,,7.53,0
1,67,5.278856356,26.92136987,0,1,0,0,0.7,1,0.01,45,8,1972031995,0.25,0,0.25,0,0.3,,5.53,0
1,68,4.675257657,35.71506456,0,1,0,0,0.7,1,0.01,45,7,1171320426,0.25,0,0.25,0,0.3,,2.58,0
